,sample_name,sample_material,sample_type,latitude,longitude,elevation_ground,min_depth,max_depth,location_type,location_name,location_comment,Er,Eu,Dy,Zr,Tb,Gd,Zn,Cu,S,Ho,La,Ni,Yb,V,Y,Sm,Ce,Cr,Nd,Sr,Ba,Co,Lu,Pr,Tm,Pt,Hf,Sc,Pd,Th,Nb,Ta,P2O5,SiO2,MnO,CaO,TiO2,Fe2O3,K2O,Cr2O3,FeO,Al2O3,Na2O,MgO
319,LITH03626751-HWD38-267.10,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,62.0,5700.0,,,3866.36,,,,,,2135.0,,,,,,,,,,,,,,,0.0,43.54,0.08,1.4,0.01,0.04,0.01,0.31,5.09,0.33,0.05,48.19
321,LITH03626751-WPU440-173.3,Dacite,Rock,-27.81,120.7,527,0.0,0.0,Unknown,Perseverance,,1.7,1.1,,189.63,0.6,3.8,10.3,26.79,100.0,0.6,16.5,,2.0,65.95,16.48,3.8,38.0,56.0,18.0,286.51,246.31,4.12,0.3,,0.3,0.00371,,8.0,0.00035,,,,0.0,69.04,0.04,3.01,0.54,0.18,1.31,0.008133929,1.52,16.51,6.91,0.89
325,LITH03626751-HWD38-320.90,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,85.0,8.0,1000.0,,,2125.35,,,,,,3603.0,,,,,,,,,,,,,,,0.0,44.57,0.16,3.93,0.39,1.01,0.05,0.52,10.83,7.85,0.09,30.39
326,LITH03626751-AMP-HM-120524-022A,Basalt,Rock,-21.403101,117.15542,338,0.0,0.0,Unknown,Hamersley Basin North,"North Hamersley Basin, North Hamersley Basin",3.3,1.07,5.09,138.13,0.82,5.03,101.5,88.19,62.8501,1.15,24.27,0.0,3.07,205.1,29.3,4.47,48.66,100.0,22.49,261.3,785.57,51.74,0.47,5.68,0.47,,3.97,31.39,,7.56,8.89,0.73,0.12,56.37,0.14,6.72,0.87,1.07,1.6,0.01,8.67,15.46,3.53,5.38
327,LITH03626751-BYD1-191.35,Basalt,Rock,-32.42,119.73,410,0.0,0.0,Unknown,E.J.Moore,"Central, U1",1.2,0.2,2.2,21.0,0.2,1.7,89.0,,0.0,0.3,2.0,504.74,1.2,48.0,13.0,1.5,6.2,70.0,5.4,2.0,,10.0,0.1,0.8,0.1,,,,,,,,0.0,53.56,0.09,1.2,0.23,3.3,0.03,0.01,26.78,2.16,0.13,12.46
328,LITH03626751-AMP-HM-120525-029B,Basalt,Rock,-22.61069,117.91528,857,0.0,0.0,Unknown,Tom Price North,"North of Tom Price Syncline, South Hamersley Basin",3.1,1.49,5.23,154.68,0.81,5.35,21.94,13.69,73.19885,1.12,31.98,0.0,2.58,221.57,27.69,5.62,77.86,50.0,29.89,65.84,66.78,12.54,0.39,7.56,0.43,,4.38,25.08,,8.42,9.82,0.83,0.14,62.87,0.05,13.15,0.87,0.7,0.21,0.007316229,5.74,14.18,0.26,1.76
330,LITH03626751-AMP-HM-120527-033A,Basalt,Rock,-22.859205,117.81491,667,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",3.8,1.54,5.72,153.59,0.94,5.6,79.37,48.57,100.0,1.29,27.31,0.0,3.5,211.31,32.67,5.2,55.35,106.0,25.15,106.79,189.15,44.35,0.51,6.52,0.52,,4.43,30.92,,8.41,9.79,0.82,0.14,57.85,0.12,7.0,0.95,0.93,0.46,0.01,7.54,15.64,4.0,5.29
332,LITH03626751-BSD091B-491.65,Dacite,Rock,-30.39,121.63,376,-492.0,-492.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,146.11,,,45.0,12.49,900.0,,,,,117.93,20.87,,,67.0,,203.52,259.88,66.65,,,,,,,,,15.0,,0.28,65.76,0.01,0.89,1.01,0.25,2.13,0.009762738,2.08,23.9,2.29,1.33
336,LITH03626751-21617/2,Basalt,Rock,-27.24,120.53,556,0.0,0.0,Unknown,Mount Keith Monument Unit,Monument Unit,,,,,,,84.96,45.1,51.11169,,,338.67,,,,,,680.0,,,0.0,,,,,,,,,,,,0.0,51.78,0.17,11.05,0.55,1.05,0.1,0.09,8.57,11.53,4.52,10.43
337,LITH03626751-MID04-226.0,Basalt,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MK Unit,,,,,,,140.55,120.68,300.0,,,549.25,,,,,,884.0,,,0.0,,,,,,,,,,,,0.0,51.4,0.18,10.48,0.5,1.18,0.4,0.12,9.6,11.8,1.46,12.82
338,LITH03626751-AMP-HM-120521-003C,Basalt,Rock,-23.0958,117.87456,504,0.0,0.0,Unknown,Paraburdoo East,"South of Tom Price Syncline, South Hamersley Basin",3.24,1.27,5.08,112.48,0.72,4.44,93.73,147.49,100.0,1.06,14.58,0.0,2.92,235.38,26.87,3.81,31.45,264.0,16.24,312.46,420.36,50.45,0.4,3.86,0.43,,3.02,33.32,,2.81,7.29,0.83,0.17,51.22,0.16,10.68,1.28,1.23,1.06,0.03,9.98,15.33,2.23,6.61
339,LITH03626751-AMP-HM-120529-055,Basalt,Rock,-22.628134,117.78359,733,0.0,0.0,Unknown,Pipeline,"North of Tom Price Syncline, South Hamersley Basin",3.96,1.35,6.19,166.89,0.92,5.48,100.13,76.08,100.0,1.37,28.05,0.0,3.53,205.49,32.23,5.55,56.95,86.0,25.97,166.37,396.9,47.48,0.55,6.61,0.58,,4.69,31.29,,8.97,10.53,0.93,0.15,57.69,0.15,7.77,0.94,1.03,1.72,0.01,8.37,14.65,2.08,5.4
340,LITH03626751-SXB04682,Dacite,Rock,-31.173653,119.25798,383,0.0,0.0,Unknown,Bullfinch,,1.87,0.66,3.03,171.68,0.38,2.43,44.39,35.39,300.0,0.64,3.86,,1.87,334.13,,1.87,9.28,53.0,6.74,,,23.0,0.3,1.45,0.28,,0.0,,,5.96,7.18,0.0,0.02,65.32,0.05,0.07,1.55,1.88,0.05,0.007735268,15.25,15.58,0.03,0.14
341,LITH03626751-SXB04782,Basalt,Rock,-31.4,119.46,432,0.0,0.0,Unknown,May Queen,Target 39,1.14,0.47,1.86,15.35,0.31,1.86,58.36,16.68,,0.37,4.77,,1.08,110.4,,1.6,8.3,2059.0,6.12,,,86.75,0.16,1.41,0.16,,0.0,,,0.83,0.51,0.0,0.008301578,56.51,0.19,3.61,0.37,1.31,0.03,0.3,10.67,4.63,0.17,22.1
342,LITH03626751-BSD079-191.03,Dacite,Rock,-30.39,121.63,376,-191.0,-191.0,Unknown,Black Swan,"Northern flank, Northern flank",,,,180.62,,,49.0,27.15,73.10476,,,,,75.17,14.61,,,45.0,,581.54,246.39,12.53,,,,,,,,,,,0.26,66.64,0.06,3.05,0.66,0.38,0.18,0.006561507,3.1,15.44,7.59,2.59
343,LITH03626751-SSD667-194.0,Basalt,Rock,-28.74,121.26,415,0.0,0.0,Unknown,Sullivans South,Sullivans South Extension?,1.29,2.43,3.3,231.45,0.72,6.35,74.39,16.55,100.0,0.56,72.84,,1.08,115.72,,9.81,149.82,453.0,61.78,,,,0.15,16.84,0.2,0.00103,,,0.00103,12.7,5.57,,0.38,56.18,0.14,5.94,0.66,0.73,0.59,0.06,5.92,14.36,5.6,9.37
345,LITH03626751-SXB04537,Andesite,Rock,-31.54,119.57,440,-369.5,-369.5,Unknown,Great Victoria Gold,GVG,,,,140.69,,,,81.81,10800.0,,,,,201.14,,,,708.0,,,,,,,,,,,,,,,0.04,59.4,0.27,6.85,0.65,0.7,4.04,0.1,5.67,17.0,2.11,3.66
347,LITH03626751-BSD092-546.0,Dacite,Rock,-30.39,121.63,376,-546.0,-546.0,Unknown,Black Swan,North of SS,0.73,0.73,1.2,86.05,0.2,1.84,177.0,174.6,2700.0,0.21,9.38,,1.2,244.76,25.7,2.68,21.79,602.0,12.51,118.46,196.7,58.94,0.17,2.84,0.12,,,,,1.5,,,0.1,58.01,0.11,3.64,0.9,1.56,1.28,0.08,12.66,16.48,0.87,4.19
348,LITH03626751-MKD19-1131,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,MKD5 pod south,,,,,,,709.13,4.99,700.0,,,,,,,,,35.0,,,0.0,,,,,,,,,,,,0.0,57.9,0.69,1.09,0.01,3.7,0.37,0.005109184,30.04,2.79,0.17,3.22
349,LITH03626751-RV9MG,Basalt,Rock,-33.57,120.03,253,0.0,0.0,Unknown,Ravensthorpe,,,,,10.75,,,111.03,2.44,,,,972.96,,51.96,48.0,,,1967.0,,23.44,10.14,,,,,0.00171,,,0.00213,,,,0.01,55.5,0.15,11.99,0.19,1.28,0.04,0.28,10.38,2.07,0.16,17.8
350,LITH03626751-HWD26A-249.60,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,181.0,848.0,4400.0,,,3340.33,,,,,,2011.0,,,,96.0,,,,,,,,,,,0.0,47.11,0.06,0.25,0.06,0.24,0.04,0.29,7.46,1.22,0.03,42.95
353,LITH03626751-EG 4520,Dolerite,Rock,-30.78,121.51,280,-590.0,-590.0,Unknown,Golden Mile Dolerite,unit5,2.0,0.7,3.32,43.1,0.56,2.75,90.62,163.5,1100.0,0.69,2.87,,1.83,261.92,19.78,2.09,7.51,55.0,5.52,122.67,35.14,46.24,0.26,1.14,0.27,,1.21,,,0.22,1.65,0.11,0.06,52.77,0.16,9.91,0.72,1.2,0.09,0.0080761,9.79,15.63,2.69,6.9
355,LITH03626751-BSD076-325.5,Dacite,Rock,-30.39,121.63,376,-326.0,-326.0,Unknown,Black Swan,"Southern Flank, lower felsics",,,,139.92,,,94.0,19.0,500.0,,,,,75.34,11.84,,,68.0,,214.18,183.0,20.0,,,,,,,,,2.0,,0.14,70.76,0.17,4.15,0.54,0.37,0.59,0.01,2.98,16.13,1.75,2.41
356,LITH03626751-BSD082-756.00,Dacite,Rock,-30.39,121.63,376,-756.0,-756.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",0.51,1.13,1.41,145.23,0.26,2.56,61.0,10.92,,0.2,34.94,,0.44,50.23,9.82,4.36,69.88,44.0,27.84,479.38,909.63,10.92,0.07,7.86,0.07,,,,,6.11,,,0.17,69.34,0.04,5.67,0.4,0.27,2.12,0.006383982,2.24,15.99,1.74,1.95
357,LITH03626751-SXB04725,Basalt,Rock,-31.51,119.57,417,-39.0,-39.0,Unknown,Great Victoria Gold,,4.05,1.79,6.27,70.19,1.0,6.32,84.69,16.96,,1.41,22.66,871.48,3.26,141.67,,4.53,27.51,2121.0,21.61,,,110.26,0.46,5.2,0.54,0.01054,0.0,,,2.31,3.68,0.0,0.01,53.08,0.15,7.25,0.74,1.29,0.12,0.3,10.5,9.11,0.6,16.65
359,LITH03626751-BSD072-128.8,Dolerite,Rock,-30.39,121.63,376,-129.0,-129.0,Unknown,Black Swan,North of SS,,,,62.65,,,66.0,38.0,,,,574.68,,164.73,12.76,,,1095.0,,243.62,108.0,43.0,,,,,,,,,,,0.09,49.88,0.2,8.18,0.58,0.95,4.15,0.16,7.7,11.86,3.0,13.27
360,LITH03626751-WAM024-248.1,Basalt,Rock,-27.83,120.72,506,0.0,0.0,Unknown,Perseverance,PU South,1.35,1.01,,,0.33,1.97,182.07,78.32,100.0,0.45,1.66,884.35,1.35,,,1.24,4.88,1457.0,3.74,,0.0,104.43,0.2,0.74,0.18,0.01223,,,0.02237,,,,0.0,45.36,0.26,11.23,0.6,1.46,0.26,0.21,11.86,11.02,1.11,16.54
363,LITH03626751-HWD26A-229.30,Basalt,Rock,-26.89,120.38,503,0.0,0.0,Unknown,Honeymoon Well,East side barren flows,,,,,,,30.0,0.0,500.0,,,4147.13,,,,,,1579.0,,,,120.0,,,,,,,,,,,0.0,41.93,0.05,0.04,0.01,0.0,0.13,0.23,5.81,0.36,0.05,50.94
364,LITH03626751-AMP-HM-120527-036A,Basalt,Rock,-22.914553,117.83367,627,0.0,0.0,Unknown,Tom Price South,"South of Tom Price Syncline, South Hamersley Basin",2.29,1.0,3.48,78.83,0.56,3.06,94.39,112.54,100.0,0.77,8.29,0.0,2.05,160.78,19.7,2.84,18.36,213.0,10.68,124.89,271.06,47.96,0.35,2.33,0.31,,2.17,23.85,,1.49,3.73,0.41,0.12,52.08,0.15,9.3,0.78,1.08,0.79,0.03,8.77,17.03,1.83,8.0
365,LITH03626751-AMP-HM-120523-015,Basalt,Rock,-22.598587,117.615295,611,0.0,0.0,Unknown,Railroad,"North of Tom Price Syncline, South Hamersley Basin",4.05,1.47,6.25,175.83,0.98,5.82,89.98,81.46,93.16667,1.38,29.37,0.0,3.67,212.04,34.44,5.87,59.78,64.0,28.13,219.9,628.88,44.61,0.57,7.0,0.61,,4.96,28.96,,8.5,11.17,1.13,0.16,56.68,0.15,8.74,0.99,0.99,1.89,0.009309152,8.08,15.16,1.72,5.38
368,LITH03626751-22-135.26,Basalt,Rock,-32.14,119.79,407,0.0,0.0,Unknown,Mount Hope,KAGARA NICKEL PTY LTD,,,,43.0,,,102.0,47.0,0.0,,,944.89,,224.0,27.0,,,2216.0,,22.0,857.0,80.0,,,,,,,,,,,0.0,48.17,0.24,6.47,0.67,1.51,3.61,0.32,12.24,8.32,0.86,17.48
371,LITH03626751-BSD078-445.5,Dacite,Rock,-30.39,121.63,376,-446.0,-446.0,Unknown,Black Swan,"Northern channel, lower felsics",,,,99.11,,,27.0,21.0,1000.0,,,,,25.61,10.02,,,68.0,,515.57,473.0,9.0,,,,,,,,,2.0,,0.14,67.41,0.16,6.98,0.24,0.32,0.99,0.01,2.55,11.93,4.69,4.58
372,LITH03626751-HWD38-125.00,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,119.0,8900.0,,,3633.8,,,,,,1736.0,,,,,,,,,,,,,,,0.0,44.91,0.08,0.81,0.01,0.13,0.02,0.25,6.15,0.23,0.71,45.89
373,LITH03626751-HWD04-200.20,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,31.0,0.0,1600.0,,,3910.34,,,,,,3100.0,,,,256.0,,,,,,,,,,,0.0,43.57,0.07,0.04,0.01,0.03,0.07,0.45,6.56,0.18,0.02,48.62
374,LITH03626751-SXB04685,Rhyolite,Rock,-31.2,119.28,359,-29.0,-29.0,Unknown,Southern Cross Township,SONS OF GWALIA LTD,0.53,0.16,0.96,31.87,0.16,0.64,121.13,79.03,800.0,0.21,3.98,,0.7,72.36,,0.8,17.33,12084.0,3.71,,,129.38,0.08,0.92,0.08,,0.0,,,1.61,1.61,0.0,0.008615528,76.08,0.18,0.18,0.18,1.28,0.4,1.76,10.43,2.96,3.08,3.19
377,LITH03626751-HWD38-116.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,2696.0,16600.0,,,3554.22,,,,,,2050.0,,,,,,,,,,,,,,,0.0,41.39,0.15,0.57,0.01,0.29,0.05,0.29,10.14,0.12,1.12,45.1
378,LITH03626751-BSD069-247.25,Dacite,Rock,-30.39,121.63,376,-247.0,-247.0,Unknown,Black Swan,"Black Swan Orebody, lower felsics",,,,127.14,,,35.0,19.8,,,,,,62.53,14.59,,,52.0,,239.7,204.26,10.42,,,,,,,,,15.0,,0.13,73.52,0.1,1.19,0.6,0.3,0.89,0.007616,2.5,17.93,2.16,0.6
379,LITH03626751-HWD38-271.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,109.0,1200.0,,,3932.22,,,,,,1721.0,,,,,,,,,,,,,,,0.0,41.02,0.07,2.26,0.01,0.03,0.02,0.25,6.82,0.21,0.06,48.84
381,LITH03626751-BSD091e-852.1,Dacite,Rock,-30.39,121.64,374,-852.0,-852.0,Unknown,Black Swan,"Silver Swan, Silver Swan-Cygnet",,,,118.92,,,56.0,1220.69,16900.0,,,,,71.13,15.56,,,54.0,,44.45,1931.68,140.27,,,,,,,,,,,0.17,69.6,0.03,0.27,0.59,0.76,2.72,0.007959618,6.2,15.41,0.22,3.96
385,LITH03626751-HWD38-220.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,126.0,3900.0,,,3970.17,,,,,,1652.0,,,,,,,,,,,,,,,0.0,43.19,0.04,0.47,0.04,0.02,0.03,0.24,5.45,0.55,0.06,49.21
386,LITH03626751-BSD051-297.30,Dacite,Rock,-30.39,121.63,376,-297.0,-297.0,Unknown,Black Swan,"Cygnet, lower felsics, BARMINCO INVESTMENTS PTY LTD",0.92,0.8,1.79,145.61,0.26,2.05,61.0,10.55,,0.31,20.04,,0.84,74.92,15.82,2.69,39.04,41.0,15.82,278.57,278.57,12.67,0.14,4.32,0.13,,,,,3.16,,,0.14,71.79,0.07,1.9,0.54,0.5,0.54,0.006014725,4.1,16.41,1.58,2.36
387,LITH03626751-AMP-HM-120522-006K,Basalt,Rock,-22.923803,117.36811,436,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",3.68,1.14,5.39,117.42,0.8,4.79,90.4,62.83,83.22703,1.23,11.22,0.0,3.08,215.11,29.51,3.66,24.94,555.0,15.79,88.33,104.95,49.52,0.49,3.48,0.46,,3.32,30.13,,2.05,5.29,0.62,0.17,55.57,0.15,7.51,1.07,1.16,0.19,0.08,9.43,12.12,2.9,9.66
388,LITH03626751-MKD66-219.2,Dacite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"MKD5 pod, Unit 101, BHP BILLITON LTD",,,,,,,65.05,10.01,100.0,,,,,,,,,80.0,,,0.0,,,,,,,,,,,,0.0,63.78,0.08,5.99,0.7,0.58,0.8,0.01,4.75,15.84,4.52,2.91
389,LITH03626751-MKD53-230,Andesite,Rock,-27.21,120.54,548,0.0,0.0,Unknown,Mount Keith MKD5 Deposit,"Constriction 1, Constriction 1, BHP BILLITON LTD",,,,,,,85.17,25.07,51.83238,,,,,,,,,140.0,,,0.0,,,,,,,,,,,,0.0,60.37,0.11,5.33,1.09,0.83,0.94,0.02,6.74,15.74,4.33,4.45
393,LITH03626751-BD01-076.25,Basalt,Rock,-32.5,119.68,393,0.0,0.0,Unknown,Boojum,"Western, U1",2.5,0.9,4.1,36.0,0.6,3.3,102.0,52.0,200.0,0.9,3.0,304.58,2.2,273.0,19.0,2.2,7.8,552.0,6.1,124.0,26.0,90.0,0.4,1.3,0.4,,,,,0.4,,,0.0,50.26,0.22,12.39,0.91,1.02,0.24,0.08,8.3,14.74,1.64,10.14
394,LITH03626751-SXB04729,Basalt,Rock,-31.07,119.16,407,0.0,0.0,Unknown,Bullfinch,Target 07,4.02,1.34,5.78,45.84,0.82,5.16,49.78,33.18,,1.4,12.8,795.96,3.4,208.16,,3.61,7.33,1957.0,12.59,,,71.89,0.55,2.85,0.57,0.33561,0.0,,0.05679,0.82,1.03,0.0,0.01,53.85,0.19,12.49,0.36,1.01,0.12,0.28,8.24,6.89,0.67,15.79
397,LITH03626751-BSD099-591.5,Dolerite,Rock,-30.39,121.63,376,-591.5,-591.5,Unknown,Black Swan,,,,,73.72,,,70.0,20.93,77.11455,,,,,163.94,14.3,,,201.0,,399.41,523.74,39.65,,,,,,,,,,,0.09,52.74,0.16,8.69,0.66,1.05,0.14,0.02,8.53,16.81,3.84,7.2
398,LITH03626751-AMP-HM-120528-045A,Basalt,Rock,-22.995378,117.50681,508,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.75,0.64,2.72,75.66,0.41,2.65,84.99,47.2,62.25337,0.61,13.57,0.0,1.74,175.18,13.99,2.75,27.98,220.0,13.26,151.85,454.12,45.96,0.25,3.42,0.29,,2.38,27.98,,4.77,4.14,0.41,0.08,55.28,0.15,7.55,0.62,0.99,1.44,0.03,8.03,15.49,3.03,7.28
406,LITH03626751-BSD037-187.55B,Dacite,Rock,-30.39,121.63,376,-188.0,-188.0,Unknown,Black Swan,"Silver Swan, upper felsics",,,,150.68,,,5.0,30.67,1300.0,,,,,84.89,16.97,,,59.0,,100.81,340.63,7.4,,,,,,,,,15.0,,0.26,68.89,0.01,2.41,0.71,0.37,3.48,0.008685363,3.06,16.64,2.38,1.7
408,LITH03626751-Fort2015-HM-101A,Basalt,Rock,-21.474733,116.81847,215,0.0,0.0,Unknown,Hamersley Basin North,HiTh Mafic North,3.64,1.07,5.61,167.53,0.87,5.3,69.1,68.03,92.35076,1.19,25.96,0.0,3.36,198.95,32.14,5.42,51.93,129.0,24.71,171.51,717.16,46.43,0.48,6.25,0.51,,4.39,28.27,,8.31,9.94,0.94,0.14,56.41,0.14,6.09,0.92,1.05,2.02,0.01,8.51,15.34,3.51,5.8
409,LITH03626751-HWD38-340.50,Basalt,Rock,-26.88,120.35,501,0.0,0.0,Unknown,Honeymoon Well,West side min flows,,,,,,,,403.0,14300.0,,,3248.24,,,,,,1470.0,,,,,,,,,,,,,,,0.0,36.82,0.14,10.13,0.02,0.34,0.05,0.21,8.27,0.76,0.05,42.03
413,LITH03626751-9-356.67,Basalt,Rock,-32.14,119.79,407,0.0,0.0,Unknown,Mount Hope,,,,,10.0,,,52.0,326.0,0.0,,,,,692.0,7.0,,,69.0,,297.0,2.0,85.0,,,,,,,,,,,0.0,44.79,0.13,13.79,0.96,1.88,0.41,0.01,15.28,13.46,0.97,8.24
417,LITH03626751-AMP-HM-120522-006B,Basalt,Rock,-22.922485,117.367744,442,0.0,0.0,Unknown,Rocklea Dome South,"South of Tom Price Syncline, South Hamersley Basin",1.47,0.32,2.13,44.8,0.37,1.93,65.07,5.23,400.0,0.49,4.37,0.0,1.38,115.21,12.58,1.55,10.45,3351.0,6.5,9.06,31.57,107.7,0.23,1.49,0.2,,1.17,16.0,,0.76,2.02,0.42,0.08,50.57,0.11,8.92,0.45,1.12,0.01,0.48,9.07,5.78,0.07,23.59
418,LITH03626751-RLD001-125.6,Dacite,Rock,-29.77,121.76,366,-126.0,-126.0,Unknown,Ringlock,,,,,120.03,,,19.0,12.27,1300.0,,,,,88.23,18.46,,,75.0,,204.16,959.27,15.34,,,,,,,,,,,0.19,59.77,0.1,4.69,0.52,0.43,6.49,0.01,3.54,16.56,3.36,4.27
419,LITH03626751-CBD085-244.50,Andesite,Rock,-32.58,119.74,422,0.0,0.0,Unknown,Cosmic Boy,Eastern (N),,,,111.0,,,142.0,79.0,100.0,,,,,448.0,30.0,,,,,76.0,50.0,32.0,,,,,,,,,,,0.0,58.12,0.26,8.91,1.56,1.1,0.22,0.0,8.92,14.36,2.07,4.45
